hour	hits	bytes sent
2005-10-23 00:00:00	20537	176129979
2005-10-24 00:00:00	9194	114740599
2005-10-25 00:00:00	12809	151962184
2005-10-26 00:00:00	9153	97138827
2005-10-27 00:00:00	8008	92801132
2005-10-28 00:00:00	6011	71041666
2005-10-29 00:00:00	4671	45719326
2005-10-30 00:00:00	7250	61830191
2005-10-31 00:00:00	4869	80080462
2005-11-01 00:00:00	10877	132278234
2005-11-02 00:00:00	10604	151515143
2005-11-03 00:00:00	8177	106425544
2005-11-04 00:00:00	14998	124706094
2005-11-05 00:00:00	6417	81668677
2005-11-06 00:00:00	16300	168625926
2005-11-07 00:00:00	11588	122122006
2005-11-08 00:00:00	10462	98473819
2005-11-09 00:00:00	8515	107362388
2005-11-10 00:00:00	7711	87869714
2005-11-11 00:00:00	6496	88228890
2005-11-12 00:00:00	3678	19019068
2005-11-13 00:00:00	15852	150752353
2005-11-14 00:00:00	17722	167182280
2005-11-15 00:00:00	7524	90640126
2005-11-16 00:00:00	9933	100454097
2005-11-17 00:00:00	14374	158277707
2005-11-18 00:00:00	10543	107749392
2005-11-19 00:00:00	3335	36168709
2005-11-20 00:00:00	7841	76969411
2005-11-21 00:00:00	12422	188927431
2005-11-22 00:00:00	9627	97994949
2005-11-23 00:00:00	6048	76989023
2005-11-24 00:00:00	5362	51684693
2005-11-25 00:00:00	4409	47155884
2005-11-26 00:00:00	5842	77147996
2005-11-27 00:00:00	10331	101141964
2005-11-28 00:00:00	9339	90790677
2005-11-29 00:00:00	12159	130991010
2005-11-30 00:00:00	11509	128457049
2005-12-01 00:00:00	10276	115233429
2005-12-02 00:00:00	7313	82640613
2005-12-03 00:00:00	7380	72939257
2005-12-04 00:00:00	10192	85807492
2005-12-05 00:00:00	9819	113461134
2005-12-06 00:00:00	12931	144673506
